airline_id,airline_name,airline_created_date,promotion_id,promotion_name,promotion_comments,reward_id,reward_name,reward_comments,redemption_id,redemption_date,passenger_id,miles_used
79,SkyBound 79,1989-04-02,492,Black Friday Fly 2026,Valid for flights over 3942 miles,751,Extra Baggage Coupon,Expiry: 56 days after redemption,20013,2026-03-01,5306,16630
44,Global Jet 44,1991-05-25,453,First Class Access 2026,Valid for flights over 1710 miles,762,Extra Baggage Coupon,Expiry: 44 days after redemption,20014,2026-01-27,8819,20797
34,AeroSwift 34,1977-09-29,485,Summer Miles 2026,Valid for flights over 3643 miles,728,Lounge Access Coupon,Expiry: 62 days after redemption,20015,2026-02-14,7734,4584
13,SkyBound 13,1977-02-28,482,First Class Access 2026,Valid for flights over 4221 miles,703,Free Meal Coupon,Expiry: 36 days after redemption,20016,2026-01-30,7846,2216
100,SkyBound 100,2011-02-14,410,Holiday Special 2026,Valid for flights over 1502 miles,719,Extra Baggage Coupon,Expiry: 34 days after redemption,20017,2026-01-03,9153,8282
46,SkyBound 46,1993-11-20,420,First Class Access 2026,Valid for flights over 3191 miles,742,Lounge Access Coupon,Expiry: 76 days after redemption,20018,2026-03-01,9908,17810
88,SkyBound 88,2001-01-22,479,Holiday Special 2026,Valid for flights over 565 miles,785,Free Meal Coupon,Expiry: 51 days after redemption,20019,2026-02-28,7630,24008
74,Horizon Airways 74,2000-04-28,491,Black Friday Fly 2026,Valid for flights over 3180 miles,794,Lounge Access Coupon,Expiry: 49 days after redemption,20020,2026-02-21,6724,10734
25,AeroSwift 25,2001-03-12,434,Black Friday Fly 2026,Valid for flights over 1023 miles,765,Free Meal Coupon,Expiry: 85 days after redemption,20021,2026-02-21,8720,7442
89,Oceanic Air 89,1981-03-21,454,Black Friday Fly 2026,Valid for flights over 2303 miles,741,Priority Boarding Coupon,Expiry: 44 days after redemption,20022,2026-01-03,5589,10416
15,Horizon Airways 15,1996-08-02,431,Holiday Special 2026,Valid for flights over 4118 miles,736,Free Meal Coupon,Expiry: 78 days after redemption,20023,2026-02-07,6940,16145
94,Horizon Airways 94,1983-12-02,420,First Class Access 2026,Valid for flights over 3191 miles,789,Double Points Coupon,Expiry: 35 days after redemption,20024,2026-01-29,6802,24068
79,SkyBound 79,1989-04-02,477,First Class Access 2026,Valid for flights over 4678 miles,767,Double Points Coupon,Expiry: 82 days after redemption,20025,2026-01-20,8586,14232
100,SkyBound 100,2011-02-14,408,First Class Access 2026,Valid for flights over 558 miles,759,Extra Baggage Coupon,Expiry: 88 days after redemption,20026,2026-01-31,7062,5255
97,Oceanic Air 97,1981-01-09,428,Business Class Upgrade 2026,Valid for flights over 4293 miles,721,Free Meal Coupon,Expiry: 72 days after redemption,20027,2026-03-02,8714,19714
44,Global Jet 44,1991-05-25,411,Black Friday Fly 2026,Valid for flights over 1386 miles,769,Priority Boarding Coupon,Expiry: 65 days after redemption,20028,2026-02-02,8940,14179
89,Oceanic Air 89,1981-03-21,411,Black Friday Fly 2026,Valid for flights over 1386 miles,769,Priority Boarding Coupon,Expiry: 65 days after redemption,20029,2026-02-02,8461,24013
100,SkyBound 100,2011-02-14,469,Summer Miles 2026,Valid for flights over 2081 miles,749,Extra Baggage Coupon,Expiry: 53 days after redemption,20030,2026-01-16,8318,3580
79,SkyBound 79,1989-04-02,438,Holiday Special 2026,Valid for flights over 2786 miles,732,Lounge Access Coupon,Expiry: 64 days after redemption,20031,2026-01-06,8257,15467
79,SkyBound 79,1989-04-02,447,Holiday Special 2026,Valid for flights over 4433 miles,761,Double Points Coupon,Expiry: 64 days after redemption,20032,2026-02-17,5019,18182
5,Global Jet 5,1987-06-05,431,Holiday Special 2026,Valid for flights over 4118 miles,754,Free Meal Coupon,Expiry: 51 days after redemption,20033,2026-01-28,9496,12776
32,Global Jet 32,2005-05-23,422,Summer Miles 2026,Valid for flights over 4211 miles,791,Lounge Access Coupon,Expiry: 31 days after redemption,20034,2026-01-31,8379,5557
75,Oceanic Air 75,2005-06-30,431,Holiday Special 2026,Valid for flights over 4118 miles,736,Free Meal Coupon,Expiry: 78 days after redemption,20035,2026-02-14,8317,8571
28,SkyBound 28,2008-10-29,420,First Class Access 2026,Valid for flights over 3191 miles,783,Lounge Access Coupon,Expiry: 52 days after redemption,20036,2026-02-21,5444,21610
28,SkyBound 28,2008-10-29,485,Summer Miles 2026,Valid for flights over 3643 miles,799,Double Points Coupon,Expiry: 84 days after redemption,20037,2026-01-02,8691,2367
93,SkyBound 93,2019-01-20,418,Business Class Upgrade 2026,Valid for flights over 3799 miles,775,Extra Baggage Coupon,Expiry: 57 days after redemption,20038,2026-02-13,7695,10467
55,Horizon Airways 55,1970-06-13,418,Business Class Upgrade 2026,Valid for flights over 3799 miles,775,Extra Baggage Coupon,Expiry: 57 days after redemption,20039,2026-02-07,9935,5250
44,Global Jet 44,1991-05-25,487,Black Friday Fly 2026,Valid for flights over 4790 miles,758,Double Points Coupon,Expiry: 55 days after redemption,20040,2026-01-04,5925,10998
69,Oceanic Air 69,1992-04-13,440,Business Class Upgrade 2026,Valid for flights over 2773 miles,760,Priority Boarding Coupon,Expiry: 45 days after redemption,20041,2026-02-10,8624,11033
46,SkyBound 46,1993-11-20,456,Black Friday Fly 2026,Valid for flights over 3648 miles,744,Double Points Coupon,Expiry: 84 days after redemption,20042,2026-02-08,6893,24498
34,AeroSwift 34,1977-09-29,478,Summer Miles 2026,Valid for flights over 2873 miles,798,Double Points Coupon,Expiry: 48 days after redemption,20043,2026-01-11,8978,8478
70,SkyBound 70,1970-09-14,420,First Class Access 2026,Valid for flights over 3191 miles,783,Lounge Access Coupon,Expiry: 52 days after redemption,20044,2026-01-15,8721,16736
84,Global Jet 84,2000-12-02,402,First Class Access 2026,Valid for flights over 3665 miles,763,Extra Baggage Coupon,Expiry: 44 days after redemption,20045,2026-01-30,6704,11700
11,Global Jet 11,1993-07-11,473,Summer Miles 2026,Valid for flights over 2092 miles,788,Lounge Access Coupon,Expiry: 52 days after redemption,20046,2026-02-10,6069,7247
51,SkyBound 51,2015-01-20,447,Holiday Special 2026,Valid for flights over 4433 miles,761,Double Points Coupon,Expiry: 64 days after redemption,20047,2026-01-16,8395,21801
68,Oceanic Air 68,2011-06-25,471,Holiday Special 2026,Valid for flights over 1726 miles,727,Free Meal Coupon,Expiry: 47 days after redemption,20048,2026-01-24,6429,1456
23,AeroSwift 23,1982-06-08,496,Black Friday Fly 2026,Valid for flights over 4842 miles,716,Lounge Access Coupon,Expiry: 83 days after redemption,20049,2026-01-26,6373,5120
80,Global Jet 80,1981-07-11,478,Summer Miles 2026,Valid for flights over 2873 miles,787,Priority Boarding Coupon,Expiry: 69 days after redemption,20050,2026-02-20,7011,2818
17,Global Jet 17,2016-06-22,478,Summer Miles 2026,Valid for flights over 2873 miles,787,Priority Boarding Coupon,Expiry: 69 days after redemption,20051,2026-02-22,9721,9525
26,Oceanic Air 26,2010-08-03,478,Summer Miles 2026,Valid for flights over 2873 miles,798,Double Points Coupon,Expiry: 48 days after redemption,20052,2026-02-09,9286,9677
13,SkyBound 13,1977-02-28,434,Black Friday Fly 2026,Valid for flights over 1023 miles,765,Free Meal Coupon,Expiry: 85 days after redemption,20053,2026-02-20,7171,22290
13,SkyBound 13,1977-02-28,459,Holiday Special 2026,Valid for flights over 2619 miles,718,Extra Baggage Coupon,Expiry: 70 days after redemption,20054,2026-02-13,9949,14151
94,Horizon Airways 94,1983-12-02,465,Black Friday Fly 2026,Valid for flights over 3040 miles,733,Double Points Coupon,Expiry: 40 days after redemption,20055,2026-01-27,6949,7874
44,Global Jet 44,1991-05-25,456,Black Friday Fly 2026,Valid for flights over 3648 miles,744,Double Points Coupon,Expiry: 84 days after redemption,20056,2026-01-24,9075,21481
96,AeroSwift 96,1998-09-18,479,Holiday Special 2026,Valid for flights over 565 miles,785,Free Meal Coupon,Expiry: 51 days after redemption,20057,2026-01-12,8650,7751
51,SkyBound 51,2015-01-20,486,Business Class Upgrade 2026,Valid for flights over 3475 miles,737,Extra Baggage Coupon,Expiry: 70 days after redemption,20058,2026-02-14,9308,19821
5,Global Jet 5,1987-06-05,470,First Class Access 2026,Valid for flights over 3235 miles,786,Priority Boarding Coupon,Expiry: 89 days after redemption,20059,2026-01-16,5944,12683
41,AeroSwift 41,1972-10-03,471,Holiday Special 2026,Valid for flights over 1726 miles,755,Extra Baggage Coupon,Expiry: 69 days after redemption,20060,2026-02-19,9179,15263
6,AeroSwift 6,1979-05-14,478,Summer Miles 2026,Valid for flights over 2873 miles,787,Priority Boarding Coupon,Expiry: 69 days after redemption,20061,2026-02-08,6676,10384
48,Oceanic Air 48,1996-07-04,440,Business Class Upgrade 2026,Valid for flights over 2773 miles,760,Priority Boarding Coupon,Expiry: 45 days after redemption,20062,2026-02-09,9886,14940
49,Oceanic Air 49,2001-08-21,438,Holiday Special 2026,Valid for flights over 2786 miles,732,Lounge Access Coupon,Expiry: 64 days after redemption,20063,2026-01-26,8978,11619
8,SkyBound 8,2009-04-22,431,Holiday Special 2026,Valid for flights over 4118 miles,736,Free Meal Coupon,Expiry: 78 days after redemption,20064,2026-01-22,8990,1421
43,Horizon Airways 43,1971-03-11,457,Business Class Upgrade 2026,Valid for flights over 1650 miles,710,Lounge Access Coupon,Expiry: 48 days after redemption,20065,2026-02-25,5101,20133
43,Horizon Airways 43,1971-03-11,466,Summer Miles 2026,Valid for flights over 3976 miles,715,Lounge Access Coupon,Expiry: 47 days after redemption,20066,2026-02-15,8059,9699
87,Horizon Airways 87,1998-02-24,428,Business Class Upgrade 2026,Valid for flights over 4293 miles,721,Free Meal Coupon,Expiry: 72 days after redemption,20067,2026-01-03,7125,5704
69,Oceanic Air 69,1992-04-13,469,Summer Miles 2026,Valid for flights over 2081 miles,750,Double Points Coupon,Expiry: 59 days after redemption,20068,2026-02-27,9002,7127
69,Oceanic Air 69,1992-04-13,478,Summer Miles 2026,Valid for flights over 2873 miles,787,Priority Boarding Coupon,Expiry: 69 days after redemption,20069,2026-02-12,7298,16201
48,Oceanic Air 48,1996-07-04,459,Holiday Special 2026,Valid for flights over 2619 miles,718,Extra Baggage Coupon,Expiry: 70 days after redemption,20070,2026-02-17,5294,24680
7,SkyBound 7,1984-12-06,482,First Class Access 2026,Valid for flights over 4221 miles,752,Free Meal Coupon,Expiry: 31 days after redemption,20071,2026-01-30,6370,24959
46,SkyBound 46,1993-11-20,459,Holiday Special 2026,Valid for flights over 2619 miles,711,Extra Baggage Coupon,Expiry: 84 days after redemption,20072,2026-02-25,9204,18213
45,AeroSwift 45,2012-04-05,420,First Class Access 2026,Valid for flights over 3191 miles,742,Lounge Access Coupon,Expiry: 76 days after redemption,20073,2026-02-22,7651,17437
61,AeroSwift 61,1999-11-28,414,Black Friday Fly 2026,Valid for flights over 901 miles,722,Free Meal Coupon,Expiry: 88 days after redemption,20074,2026-01-24,9715,11473
3,Oceanic Air 3,1997-08-28,431,Holiday Special 2026,Valid for flights over 4118 miles,736,Free Meal Coupon,Expiry: 78 days after redemption,20075,2026-02-10,9881,10680
47,Oceanic Air 47,2001-02-17,459,Holiday Special 2026,Valid for flights over 2619 miles,701,Extra Baggage Coupon,Expiry: 53 days after redemption,20076,2026-02-08,6378,14896
27,AeroSwift 27,1998-10-23,428,Business Class Upgrade 2026,Valid for flights over 4293 miles,721,Free Meal Coupon,Expiry: 72 days after redemption,20077,2026-03-02,6344,1386
98,SkyBound 98,1995-01-22,492,Black Friday Fly 2026,Valid for flights over 3942 miles,764,Free Meal Coupon,Expiry: 49 days after redemption,20078,2026-01-21,6527,4246
77,Horizon Airways 77,1984-10-12,439,Holiday Special 2026,Valid for flights over 4949 miles,705,Extra Baggage Coupon,Expiry: 60 days after redemption,20079,2026-01-26,8511,9407
66,Oceanic Air 66,1970-08-24,408,First Class Access 2026,Valid for flights over 558 miles,759,Extra Baggage Coupon,Expiry: 88 days after redemption,20080,2026-01-25,6414,13575
39,AeroSwift 39,1978-08-11,482,First Class Access 2026,Valid for flights over 4221 miles,703,Free Meal Coupon,Expiry: 36 days after redemption,20081,2026-01-22,9394,6041
72,Horizon Airways 72,1993-02-24,418,Business Class Upgrade 2026,Valid for flights over 3799 miles,775,Extra Baggage Coupon,Expiry: 57 days after redemption,20082,2026-01-03,5491,20014
68,Oceanic Air 68,2011-06-25,431,Holiday Special 2026,Valid for flights over 4118 miles,736,Free Meal Coupon,Expiry: 78 days after redemption,20083,2026-02-11,6211,19489
39,AeroSwift 39,1978-08-11,458,Summer Miles 2026,Valid for flights over 1568 miles,706,Extra Baggage Coupon,Expiry: 90 days after redemption,20084,2026-02-21,5871,9673
16,SkyBound 16,1975-12-03,418,Business Class Upgrade 2026,Valid for flights over 3799 miles,773,Priority Boarding Coupon,Expiry: 82 days after redemption,20085,2026-01-06,9647,14430
50,Horizon Airways 50,2011-05-26,463,Business Class Upgrade 2026,Valid for flights over 4606 miles,796,Extra Baggage Coupon,Expiry: 61 days after redemption,20086,2026-02-11,9097,21142
35,SkyBound 35,2003-05-26,463,Business Class Upgrade 2026,Valid for flights over 4606 miles,723,Priority Boarding Coupon,Expiry: 54 days after redemption,20087,2026-02-20,5838,7923
23,AeroSwift 23,1982-06-08,471,Holiday Special 2026,Valid for flights over 1726 miles,727,Free Meal Coupon,Expiry: 47 days after redemption,20088,2026-01-19,8792,13041
87,Horizon Airways 87,1998-02-24,461,Business Class Upgrade 2026,Valid for flights over 4004 miles,774,Lounge Access Coupon,Expiry: 41 days after redemption,20089,2026-01-05,9198,24089
5,Global Jet 5,1987-06-05,449,Black Friday Fly 2026,Valid for flights over 2932 miles,756,Priority Boarding Coupon,Expiry: 55 days after redemption,20090,2026-02-06,9722,8540
64,Global Jet 64,2009-04-15,486,Business Class Upgrade 2026,Valid for flights over 3475 miles,712,Extra Baggage Coupon,Expiry: 66 days after redemption,20091,2026-02-24,9799,10198
7,SkyBound 7,1984-12-06,463,Business Class Upgrade 2026,Valid for flights over 4606 miles,796,Extra Baggage Coupon,Expiry: 61 days after redemption,20092,2026-02-06,6758,20900
1,SkyBound 1,1974-11-29,449,Black Friday Fly 2026,Valid for flights over 2932 miles,756,Priority Boarding Coupon,Expiry: 55 days after redemption,20093,2026-02-27,5300,15130
14,Oceanic Air 14,1971-02-01,477,First Class Access 2026,Valid for flights over 4678 miles,767,Double Points Coupon,Expiry: 82 days after redemption,20094,2026-02-09,8444,6515
57,Oceanic Air 57,1986-12-05,438,Holiday Special 2026,Valid for flights over 2786 miles,732,Lounge Access Coupon,Expiry: 64 days after redemption,20095,2026-01-13,9651,24222
24,Global Jet 24,1991-07-29,470,First Class Access 2026,Valid for flights over 3235 miles,786,Priority Boarding Coupon,Expiry: 89 days after redemption,20096,2026-02-27,9576,20057
66,Oceanic Air 66,1970-08-24,413,First Class Access 2026,Valid for flights over 2220 miles,713,Extra Baggage Coupon,Expiry: 49 days after redemption,20097,2026-01-13,9742,2119
12,Global Jet 12,2014-02-22,489,Summer Miles 2026,Valid for flights over 3180 miles,757,Double Points Coupon,Expiry: 51 days after redemption,20098,2026-03-01,9085,19610
26,Oceanic Air 26,2010-08-03,486,Business Class Upgrade 2026,Valid for flights over 3475 miles,737,Extra Baggage Coupon,Expiry: 70 days after redemption,20099,2026-01-15,6634,19892
32,Global Jet 32,2005-05-23,475,Business Class Upgrade 2026,Valid for flights over 3026 miles,708,Double Points Coupon,Expiry: 85 days after redemption,20100,2026-01-04,9427,1990
16,SkyBound 16,1975-12-03,453,First Class Access 2026,Valid for flights over 1710 miles,762,Extra Baggage Coupon,Expiry: 44 days after redemption,20101,2026-01-11,9978,15424
91,Global Jet 91,1979-09-29,402,First Class Access 2026,Valid for flights over 3665 miles,763,Extra Baggage Coupon,Expiry: 44 days after redemption,20102,2026-02-20,9961,16912
41,AeroSwift 41,1972-10-03,420,First Class Access 2026,Valid for flights over 3191 miles,789,Double Points Coupon,Expiry: 35 days after redemption,20103,2026-01-04,7488,18971
40,SkyBound 40,1979-05-19,460,Business Class Upgrade 2026,Valid for flights over 1567 miles,766,Priority Boarding Coupon,Expiry: 43 days after redemption,20104,2026-01-03,5659,22736
63,Global Jet 63,2008-03-19,418,Business Class Upgrade 2026,Valid for flights over 3799 miles,775,Extra Baggage Coupon,Expiry: 57 days after redemption,20105,2026-01-05,6357,12545
86,AeroSwift 86,1999-08-09,459,Holiday Special 2026,Valid for flights over 2619 miles,701,Extra Baggage Coupon,Expiry: 53 days after redemption,20106,2026-01-26,8635,10721
38,Oceanic Air 38,2017-05-27,416,Business Class Upgrade 2026,Valid for flights over 2102 miles,731,Extra Baggage Coupon,Expiry: 53 days after redemption,20107,2026-01-31,6829,16366
6,AeroSwift 6,1979-05-14,420,First Class Access 2026,Valid for flights over 3191 miles,789,Double Points Coupon,Expiry: 35 days after redemption,20108,2026-01-07,9451,1042
83,Global Jet 83,2001-11-03,471,Holiday Special 2026,Valid for flights over 1726 miles,727,Free Meal Coupon,Expiry: 47 days after redemption,20109,2026-02-17,7386,13946
80,Global Jet 80,1981-07-11,459,Holiday Special 2026,Valid for flights over 2619 miles,701,Extra Baggage Coupon,Expiry: 53 days after redemption,20110,2026-01-06,5844,2142
9,AeroSwift 9,1970-05-09,456,Black Friday Fly 2026,Valid for flights over 3648 miles,744,Double Points Coupon,Expiry: 84 days after redemption,20111,2026-01-19,8453,7772
52,Global Jet 52,2016-05-12,466,Summer Miles 2026,Valid for flights over 3976 miles,735,Double Points Coupon,Expiry: 46 days after redemption,20112,2026-01-09,7200,1181
33,AeroSwift 33,2018-08-26,434,Black Friday Fly 2026,Valid for flights over 1023 miles,765,Free Meal Coupon,Expiry: 85 days after redemption,20113,2026-02-26,8045,22122
55,Horizon Airways 55,1970-06-13,477,First Class Access 2026,Valid for flights over 4678 miles,767,Double Points Coupon,Expiry: 82 days after redemption,20114,2026-02-20,8381,6494
23,AeroSwift 23,1982-06-08,478,Summer Miles 2026,Valid for flights over 2873 miles,787,Priority Boarding Coupon,Expiry: 69 days after redemption,20115,2026-02-07,6697,5884
93,SkyBound 93,2019-01-20,414,Black Friday Fly 2026,Valid for flights over 901 miles,778,Priority Boarding Coupon,Expiry: 44 days after redemption,20116,2026-01-10,6358,16351
54,Global Jet 54,1981-01-15,439,Holiday Special 2026,Valid for flights over 4949 miles,705,Extra Baggage Coupon,Expiry: 60 days after redemption,20117,2026-03-02,7326,21814
14,Oceanic Air 14,1971-02-01,459,Holiday Special 2026,Valid for flights over 2619 miles,718,Extra Baggage Coupon,Expiry: 70 days after redemption,20118,2026-01-28,5050,7374
4,SkyBound 4,1983-04-06,465,Black Friday Fly 2026,Valid for flights over 3040 miles,733,Double Points Coupon,Expiry: 40 days after redemption,20119,2026-02-15,6043,6138
61,AeroSwift 61,1999-11-28,471,Holiday Special 2026,Valid for flights over 1726 miles,727,Free Meal Coupon,Expiry: 47 days after redemption,20120,2026-02-09,8113,5523
69,Oceanic Air 69,1992-04-13,496,Black Friday Fly 2026,Valid for flights over 4842 miles,772,Extra Baggage Coupon,Expiry: 40 days after redemption,20121,2026-02-20,8124,13092
60,Horizon Airways 60,1984-08-20,440,Business Class Upgrade 2026,Valid for flights over 2773 miles,760,Priority Boarding Coupon,Expiry: 45 days after redemption,20122,2026-02-15,5780,19831
59,SkyBound 59,1999-09-22,459,Holiday Special 2026,Valid for flights over 2619 miles,738,Priority Boarding Coupon,Expiry: 36 days after redemption,20123,2026-01-06,7692,8042
30,Horizon Airways 30,2013-08-25,469,Summer Miles 2026,Valid for flights over 2081 miles,749,Extra Baggage Coupon,Expiry: 53 days after redemption,20124,2026-02-19,9880,10790
98,SkyBound 98,1995-01-22,455,Holiday Special 2026,Valid for flights over 959 miles,704,Extra Baggage Coupon,Expiry: 35 days after redemption,20125,2026-02-23,6226,10414
43,Horizon Airways 43,1971-03-11,441,Business Class Upgrade 2026,Valid for flights over 4970 miles,753,Extra Baggage Coupon,Expiry: 53 days after redemption,20126,2026-02-24,9099,7951
98,SkyBound 98,1995-01-22,406,Black Friday Fly 2026,Valid for flights over 2589 miles,702,Extra Baggage Coupon,Expiry: 71 days after redemption,20127,2026-01-12,9176,12734
73,Horizon Airways 73,1989-01-26,463,Business Class Upgrade 2026,Valid for flights over 4606 miles,707,Free Meal Coupon,Expiry: 55 days after redemption,20128,2026-01-30,7972,21286
17,Global Jet 17,2016-06-22,492,Black Friday Fly 2026,Valid for flights over 3942 miles,764,Free Meal Coupon,Expiry: 49 days after redemption,20129,2026-02-15,5972,19741
6,AeroSwift 6,1979-05-14,491,Black Friday Fly 2026,Valid for flights over 3180 miles,794,Lounge Access Coupon,Expiry: 49 days after redemption,20130,2026-01-12,9911,22342
43,Horizon Airways 43,1971-03-11,457,Business Class Upgrade 2026,Valid for flights over 1650 miles,710,Lounge Access Coupon,Expiry: 48 days after redemption,20131,2026-02-09,9048,23289
89,Oceanic Air 89,1981-03-21,498,Holiday Special 2026,Valid for flights over 1676 miles,746,Extra Baggage Coupon,Expiry: 38 days after redemption,20132,2026-01-09,6482,11607
88,SkyBound 88,2001-01-22,471,Holiday Special 2026,Valid for flights over 1726 miles,755,Extra Baggage Coupon,Expiry: 69 days after redemption,20133,2026-01-27,8304,2371
50,Horizon Airways 50,2011-05-26,490,Holiday Special 2026,Valid for flights over 1434 miles,795,Double Points Coupon,Expiry: 61 days after redemption,20134,2026-02-26,9397,24062
28,SkyBound 28,2008-10-29,470,First Class Access 2026,Valid for flights over 3235 miles,743,Double Points Coupon,Expiry: 66 days after redemption,20135,2026-02-15,8044,11871
95,Horizon Airways 95,1978-05-20,477,First Class Access 2026,Valid for flights over 4678 miles,767,Double Points Coupon,Expiry: 82 days after redemption,20136,2026-01-26,9987,10298
29,Horizon Airways 29,1993-05-29,498,Holiday Special 2026,Valid for flights over 1676 miles,746,Extra Baggage Coupon,Expiry: 38 days after redemption,20137,2026-02-08,6150,21320
29,Horizon Airways 29,1993-05-29,498,Holiday Special 2026,Valid for flights over 1676 miles,720,Free Meal Coupon,Expiry: 64 days after redemption,20138,2026-02-27,5872,13451
83,Global Jet 83,2001-11-03,451,Business Class Upgrade 2026,Valid for flights over 4818 miles,776,Double Points Coupon,Expiry: 76 days after redemption,20139,2026-02-16,5795,13924
14,Oceanic Air 14,1971-02-01,418,Business Class Upgrade 2026,Valid for flights over 3799 miles,773,Priority Boarding Coupon,Expiry: 82 days after redemption,20140,2026-01-01,8737,22150
62,AeroSwift 62,1972-07-15,466,Summer Miles 2026,Valid for flights over 3976 miles,715,Lounge Access Coupon,Expiry: 47 days after redemption,20141,2026-01-12,5399,22548
17,Global Jet 17,2016-06-22,408,First Class Access 2026,Valid for flights over 558 miles,759,Extra Baggage Coupon,Expiry: 88 days after redemption,20142,2026-02-25,7929,13568
99,Global Jet 99,2001-05-11,463,Business Class Upgrade 2026,Valid for flights over 4606 miles,723,Priority Boarding Coupon,Expiry: 54 days after redemption,20143,2026-02-24,9774,24915
44,Global Jet 44,1991-05-25,414,Black Friday Fly 2026,Valid for flights over 901 miles,722,Free Meal Coupon,Expiry: 88 days after redemption,20144,2026-02-24,5537,23307
95,Horizon Airways 95,1978-05-20,470,First Class Access 2026,Valid for flights over 3235 miles,743,Double Points Coupon,Expiry: 66 days after redemption,20145,2026-01-23,9591,15277
21,Global Jet 21,1987-04-05,477,First Class Access 2026,Valid for flights over 4678 miles,767,Double Points Coupon,Expiry: 82 days after redemption,20146,2026-01-10,8676,13160
25,AeroSwift 25,2001-03-12,416,Business Class Upgrade 2026,Valid for flights over 2102 miles,709,Lounge Access Coupon,Expiry: 66 days after redemption,20147,2026-01-30,6325,6260
3,Oceanic Air 3,1997-08-28,440,Business Class Upgrade 2026,Valid for flights over 2773 miles,760,Priority Boarding Coupon,Expiry: 45 days after redemption,20148,2026-01-17,8828,14978
86,AeroSwift 86,1999-08-09,408,First Class Access 2026,Valid for flights over 558 miles,759,Extra Baggage Coupon,Expiry: 88 days after redemption,20149,2026-01-06,8934,22465
32,Global Jet 32,2005-05-23,487,Black Friday Fly 2026,Valid for flights over 4790 miles,780,Lounge Access Coupon,Expiry: 56 days after redemption,20150,2026-03-02,9492,16463
21,Global Jet 21,1987-04-05,447,Holiday Special 2026,Valid for flights over 4433 miles,761,Double Points Coupon,Expiry: 64 days after redemption,20151,2026-02-14,6272,19787
39,AeroSwift 39,1978-08-11,439,Holiday Special 2026,Valid for flights over 4949 miles,705,Extra Baggage Coupon,Expiry: 60 days after redemption,20152,2026-02-09,9708,4776
100,SkyBound 100,2011-02-14,487,Black Friday Fly 2026,Valid for flights over 4790 miles,780,Lounge Access Coupon,Expiry: 56 days after redemption,20153,2026-01-14,5401,22564
2,Horizon Airways 2,1974-06-11,430,Black Friday Fly 2026,Valid for flights over 2573 miles,793,Free Meal Coupon,Expiry: 44 days after redemption,20154,2026-02-25,8634,17924
100,SkyBound 100,2011-02-14,430,Black Friday Fly 2026,Valid for flights over 2573 miles,793,Free Meal Coupon,Expiry: 44 days after redemption,20155,2026-02-22,9651,23021
16,SkyBound 16,1975-12-03,447,Holiday Special 2026,Valid for flights over 4433 miles,761,Double Points Coupon,Expiry: 64 days after redemption,20156,2026-01-05,6103,19163
28,SkyBound 28,2008-10-29,424,First Class Access 2026,Valid for flights over 1467 miles,779,Lounge Access Coupon,Expiry: 31 days after redemption,20157,2026-01-03,6324,1213
